nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
AGEL Zvolen, pr. Zvolen;2020-11-18;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;19;0.950000;1;20
DFN Košice;2020-11-18;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-18;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;4;0.500000;4;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;4;0.105263;6;38
DONsP Dolný Kubín;2020-11-18;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;14;0.388889;22;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;15;0.357143;27;42
FN Nitra;2020-11-18;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;60;0.487805;63;123;3;0.111111;24;27;3;0.375000;5;8;0;0.000000;10;10;6;0.500000;6;12;72;0.276923;188;260
FN Trenčín;2020-11-18;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;22;0.440000;28;50;48;0.738462;15;65;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;6;0.600000;4;10;79;0.603053;50;131
FN Trnava;2020-11-18;Trnavský kraj;Okres Trnava;Trnava;P20979002101;19;0.558824;15;34;11;0.144737;65;76;0;0.000000;0;0;4;0.666667;2;6;0;0.000000;0;0;5;0.500000;5;10;39;0.309524;87;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-18;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;7;0.140000;43;50;20;0.571429;15;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;9;0.900000;1;10;36;0.363636;63;99
FNSP J. A. Reimana Prešov;2020-11-18;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;73;0.593496;50;123;6;0.428571;8;14;0;0.000000;0;0;0;0.000000;0;0;7;0.583333;5;12;86;0.577181;63;149
FNsP Nové Zámky;2020-11-18;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;40;0.312500;-1;128;21;0.420000;4;50;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;5;5;7;0.777778;2;9;68;0.354167;10;192
FNsP Skalica;2020-11-18;Trnavský kraj;Okres Skalica;Skalica;P81264051101;9;0.391304;14;23;12;0.571429;9;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;25;0.471698;25;53
FNsP Žilina;2020-11-18;Žilinský kraj;Okres Žilina;Žilina;N92725025101;9;0.121622;23;74;42;0.512195;23;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;59;0.355422;48;166
HONsP Trstená;2020-11-18;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;13;0.325000;25;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;1;0.333333;2;3;14;0.318182;28;44
KNsP Čadca;2020-11-18;Žilinský kraj;Okres Čadca;Čadca;N21149004101;36;0.818182;8;44;26;0.722222;10;36;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;66;0.767442;20;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-18;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;13;0.342105;25;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;1;0.333333;2;3;14;0.333333;28;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-18;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;2;0.333333;4;6;19;0.678571;9;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;22;0.578947;16;38
N. A. Wintera, Piešťany;2020-11-18;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;13;0.464286;15;28;0;0.000000;3;3;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;1;3;0;0.000000;0;0;15;0.441176;19;34
N. arm. g. L. Svobodu Svidník;2020-11-18;Prešovský kraj;Okres Svidník;Svidník;P97554001101;4;0.400000;6;10;11;0.550000;9;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;17;0.500000;17;34
Nemocnica A. Leňa Humenné;2020-11-18;Prešovský kraj;Okres Humenné;Humenné;P27233192101;15;0.555556;12;27;8;1.000000;0;8;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;29;0.617021;18;47
Nemocnica Poprad;2020-11-18;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;20;0.434783;18;46;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;3;0.500000;1;6;26;0.464286;20;56
Nemocnica Snina;2020-11-18;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;4;0.333333;8;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;20;0.666667;10;30
NnoM Partizánske;2020-11-18;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;6;0.428571;8;14;7;0.700000;3;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;4;1.000000;0;4;17;0.607143;11;28
NRC Kováčová;2020-11-18;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-18;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-18;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;6;0.600000;4;10;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;0;0.000000;0;0;25;0.833333;5;30
NsP Ilava;2020-11-18;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;14;1.000000;0;14;6;1.000000;0;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;20;1.000000;0;20
NsP Myjava;2020-11-18;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;10;0.555556;8;18;7;0.318182;15;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;4;4;17;0.386364;27;44
NsP Považská Bystrica;2020-11-18;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;6;0.044444;39;135;55;1.000000;0;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;66;0.325123;47;203
NsP Prievidza so s. v Bojniciach;2020-11-18;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;26;0.866667;4;30;25;1.000000;0;25;0;0.000000;2;2;0;0.000000;0;0;1;0.250000;3;4;0;0.000000;0;0;52;0.852459;9;61
NsP Š. Kukuru Michalovce;2020-11-18;Košický kraj;Okres Michalovce;Michalovce;P66599002101;4;0.333333;8;12;22;0.536585;19;41;2;0.500000;2;4;0;0.000000;0;0;0;0.000000;0;0;4;0.500000;0;8;32;0.492308;29;65
NsP Spišská Nová Ves;2020-11-18;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;2;0.052632;11;38;23;0.958333;1;24;1;1.000000;0;1;0;0.000000;0;1;0;0.000000;1;2;0;0.000000;0;0;26;0.393939;13;66
NsP sv. Jakuba Bardejov;2020-11-18;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;0;0.000000;4;4;17;0.425000;23;40;1;0.250000;3;4;1;0.333333;2;3;0;0.000000;0;0;4;1.000000;0;4;23;0.418182;32;55
NsP sv. Lukáša Galanta;2020-11-18;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;16;0.888889;1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;19;0.431818;1;44
NsP Trebišov;2020-11-18;Košický kraj;Okres Trebišov;Trebišov;P81577014101;9;0.257143;26;35;10;1.000000;0;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;19;0.413043;27;46
NÚDCH Bratislava;2020-11-18;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-18;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-18;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;22;0.785714;6;28;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;1;1.000000;0;1;25;0.806452;6;31
OÚ sv. Alžbety Bratislava;2020-11-18;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-18;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-18;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-18;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;59;1.000000;0;59;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;59;1.000000;0;59
SÚSÚSCCH Banská Bystrica;2020-11-18;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;2;0.153846;11;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;2;0.071429;26;28
Svet zdravia Rimavská Sobota;2020-11-18;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;14;0.583333;10;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;14;0.368421;24;38
Svet zdravia Topoľčany;2020-11-18;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;10;0.833333;2;12;0;0.000000;2;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;12;0.400000;18;30
Svet zdravia Žiar nad Hronom;2020-11-18;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;9;0.500000;9;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;10;0.526316;9;19
UN L. Pasteura Košice;2020-11-18;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;54;0.509434;52;106;4;0.444444;5;9;5;0.500000;5;10;0;0.000000;2;2;7;0.411765;10;17;70;0.476190;77;147
UN Martin;2020-11-18;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;53;0.509615;32;104;0;0.000000;0;0;5;0.250000;9;20;7;0.583333;5;12;0;0.000000;1;1;65;0.401235;58;162
UNB - akad. L. Dérera;2020-11-18;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;57;0.553398;8;103;0;0.000000;0;0;4;0.266667;2;15;0;0.000000;0;0;4;0.800000;1;5;65;0.481481;23;135
UNB - Ružinov;2020-11-18;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;46;1.000000;0;46;5;0.500000;0;10;1;0.200000;1;5;0;0.000000;0;0;5;0.312500;2;16;57;0.740260;3;77
UNB - Staré Meso;2020-11-18;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;9;0.900000;1;10;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;9;0.375000;7;24
UNB - sv. Cyrila a Metoda;2020-11-18;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;7;0.700000;3;10;0;0.000000;0;0;1;0.333333;2;3;0;0.000000;0;3;3;1.000000;0;3;11;0.578947;5;19
ÚVN SNP Ružomberok;2020-11-18;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;19;0.431818;25;44;9;0.160714;47;56;0;0.000000;5;5;0;0.000000;0;0;5;0.312500;7;16;0;0.000000;0;0;33;0.272727;84;121
VOÚ Košice;2020-11-18;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-18;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;21;0.583333;15;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;22;0.431373;29;51
VšNsP Lučenec;2020-11-18;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;18;0.295082;43;61;0;0.000000;0;0;0;0.000000;0;0;2;0.400000;3;5;0;0.000000;0;0;20;0.196078;82;102
VÚSCH Košice;2020-11-18;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-18;Košický kraj;Okres Rožňava;Rožňava;P85363027101;1;0.028571;34;35;3;0.375000;5;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;4;0.090909;40;44
AGEL Krompachy;2020-11-18;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-18;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;1;0.100000;9;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;1;0.040000;24;25
Psych. n. Hronovce;2020-11-18;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
