"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-13;"Okres Sobrance";5;15;20
2021-01-13;"Okres Spišská Nová Ves";58;148;206
2021-01-13;"Okres Stará Ľubovňa";7;38;45
2021-01-13;"Okres Stropkov";3;32;35
2021-01-13;"Okres Svidník";8;67;75
2021-01-13;"Okres Šaľa";69;100;169
2021-01-13;"Okres Topoľčany";89;113;202
2021-01-13;"Okres Trebišov";52;113;165
2021-01-13;"Okres Trenčín";46;148;194
2021-01-13;"Okres Trnava";90;300;390
2021-01-13;"Okres Turčianske Teplice";2;10;12
2021-01-13;"Okres Tvrdošín";2;33;35
2021-01-13;"Okres Veľký Krtíš";16;64;80
2021-01-13;"Okres Vranov nad Topľou";66;116;182
2021-01-13;"Okres Zlaté Moravce";38;34;72
2021-01-13;"Okres Zvolen";26;116;142
2021-01-13;"Okres Žarnovica";18;39;57
2021-01-13;"Okres Žiar nad Hronom";26;60;86
2021-01-13;"Okres Žilina";79;174;253
2021-01-13;NA;113;349;462
2021-01-12;"Neznáme";385;1225;1610
2021-01-12;"Okres Bánovce nad Bebravou";32;92;124
2021-01-12;"Okres Banská Bystrica";41;190;231
2021-01-12;"Okres Banská Štiavnica";2;11;13
2021-01-12;"Okres Bardejov";60;195;255
2021-01-12;"Okres Bratislava I";36;226;262
2021-01-12;"Okres Bratislava II";85;358;443
2021-01-12;"Okres Bratislava III";51;232;283
2021-01-12;"Okres Bratislava IV";90;456;546
2021-01-12;"Okres Bratislava V";68;346;414
2021-01-12;"Okres Brezno";8;52;60
2021-01-12;"Okres Bytča";13;51;64
2021-01-12;"Okres Čadca";57;117;174
2021-01-12;"Okres Detva";15;52;67
2021-01-12;"Okres Dolný Kubín";17;39;56
2021-01-12;"Okres Dunajská Streda";105;261;366
2021-01-12;"Okres Galanta";77;166;243
2021-01-12;"Okres Gelnica";10;45;55
2021-01-12;"Okres Hlohovec";24;68;92
2021-01-12;"Okres Humenné";11;43;54
2021-01-12;"Okres Ilava";54;131;185
2021-01-12;"Okres Kežmarok";38;135;173
2021-01-12;"Okres Komárno";47;143;190
2021-01-12;"Okres Košice - okolie";101;206;307
2021-01-12;"Okres Košice I";6;23;29
2021-01-12;"Okres Košice II";10;28;38
2021-01-12;"Okres Košice III";7;14;21
2021-01-12;"Okres Košice IV";5;12;17
2021-01-12;"Okres Krupina";7;24;31
2021-01-12;"Okres Kysucké Nové Mesto";19;45;64
2021-01-12;"Okres Levice";96;167;263
2021-01-12;"Okres Levoča";21;53;74
2021-01-12;"Okres Liptovský Mikuláš";59;85;144
2021-01-12;"Okres Lučenec";47;93;140
2021-01-12;"Okres Malacky";32;151;183
2021-01-12;"Okres Martin";67;137;204
2021-01-12;"Okres Medzilaborce";6;8;14
2021-01-12;"Okres Michalovce";27;148;175
2021-01-12;"Okres Myjava";6;44;50
2021-01-12;"Okres Námestovo";9;78;87
2021-01-12;"Okres Nitra";112;175;287
2021-01-12;"Okres Nové Mesto nad Váhom";52;162;214
2021-01-12;"Okres Nové Zámky";59;181;240
2021-01-12;"Okres Partizánske";38;78;116
2021-01-12;"Okres Pezinok";39;139;178
2021-01-12;"Okres Piešťany";75;139;214
2021-01-12;"Okres Poltár";17;24;41
2021-01-12;"Okres Poprad";63;228;291
2021-01-12;"Okres Považská Bystrica";120;151;271
2021-01-12;"Okres Prešov";120;515;635
2021-01-12;"Okres Prievidza";107;188;295
2021-01-12;"Okres Púchov";23;92;115
2021-01-12;"Okres Revúca";12;69;81
2021-01-12;"Okres Rimavská Sobota";21;95;116
2021-01-12;"Okres Rožňava";21;79;100
2021-01-12;"Okres Ružomberok";15;70;85
2021-01-12;"Okres Sabinov";27;120;147
2021-01-12;"Okres Senec";37;233;270
2021-01-12;"Okres Senica";13;47;60
2021-01-12;"Okres Skalica";7;27;34
2021-01-12;"Okres Snina";19;37;56
2021-01-12;"Okres Sobrance";3;20;23
2021-01-12;"Okres Spišská Nová Ves";86;165;251
